Bobby Bones,Milo Manheim,Evanna Lynch,Alexis Ren,alpha
37.227284586103615,22.563506919080094,22.335188570353964,17.874019924462317,0.3
35.98108450888811,22.965405443814383,22.694518723245466,18.35899132405204,0.35
34.75303369409975,23.358621837699925,23.044002465833497,18.844342002366826,0.39999999999999997
33.54446912995252,23.742696667498304,23.383234148898598,19.329600053650587,0.44999999999999996
32.35663182445344,24.1172094274703,23.71184930682366,19.814309441252608,0.49999999999999994
31.190663186684276,24.481779551948986,24.02952531480925,20.298031946557487,0.5499999999999999
30.047602360977976,24.836067064172763,24.335981681263153,20.78034889358612,0.5999999999999999
28.928384498726796,25.179772871389144,24.630979989435257,21.260862640448796,0.6499999999999999
27.83383993939949,25.512638720965246,24.914323506822086,21.739197832813183,0.7
26.764694260576988,25.834446836380092,25.185856484677267,22.215002418365643,0.7499999999999999
