season,week,n_participants,eliminated_name,judge_score,judge_rank,fan_vote,fan_rank,rule_type,elim_gns,elim_arith,gns_validates_elim,arith_validates_elim,models_agree
28,11,4,Kel Mitchell,9.833333333333334,3,0.1250560491103542,1,rank,0.2074223096388915,0.20784822159951205,True,True,True
29,10,6,Skai Jackson,9.5,2,0.0426641866987301,1,rank,0.10517110387031726,0.117291689308961,True,True,True
29,11,4,Nev Schulman,10.0,3,0.1272410335361076,1,rank,0.21036017576129543,0.21067934029746557,True,True,True
30,4,13,Brian Austin Green,6.5,1,0.0061292370586354,1,rank,0.02490441027244017,0.03477193560248843,True,True,True
30,8,8,Jimmie Allen,8.0,1,0.015730090126171,1,rank,0.05455549393909887,0.0703650450630855,True,True,True
30,9,6,Melora Hardin,9.0,2,0.0339147628621754,1,rank,0.09345087487585782,0.10879411612496526,True,True,True
30,10,4,Iman Shumpert,10.0,1,0.522643975988029,1,rank,0.37016472439034576,0.4083808115234263,False,False,True
31,8,8,Heidi D'Amelio,8.75,2,0.0176630929060214,1,rank,0.05988081043007499,0.07639911402057827,True,True,True
31,9,6,Trevor Donovan,8.125,1,0.0267975170619099,1,rank,0.08085546865606445,0.09781434294653937,True,True,True
31,10,4,Charli D'Amelio,10.0,1,0.5380493722310503,1,rank,0.37449110041946976,0.4160835096449369,False,False,True
32,11,5,Xochitl Gomez,10.0,4,0.2002224229299449,2,rank,0.2221547025512552,0.2191588305125915,False,False,True
33,2,13,Tori Spelling,6.333333333333333,4,0.0088949765220952,1,rank,0.028485710597676562,0.03539211366821372,True,True,True
33,3,11,Eric Roberts,5.75,2,0.0095785092578576,1,rank,0.030787852618014172,0.038316951421931714,True,True,True
33,9,5,Joey Graziadei,9.833333333333334,2,0.4592318893599677,1,rank,0.30726973746240566,0.3471458251580715,False,False,True
34,2,14,Corey Feldman,5.0,1,0.0051140454173911,1,rank,0.019073567740067954,0.025492802525209312,True,True,True
34,11,5,Jordan Chiles,9.888866666666669,3,0.0983556472326372,1,rank,0.16632152821703747,0.16721475626190624,True,True,True
